id,name,latitude,longtitude,dpcapacity,online_date
349,"Halsted St & Wrightwood Ave",41.9291,-87.6491,15,2013-10-28
350,"Ashland Ave & Chicago Ave",41.896,-87.6677,15,2013-10-22
351,"Cottage Grove Ave & 51st St",41.803,-87.6066,15,2013-10-17
352,"Jeffery Blvd & 67th St",41.7735,-87.5771,15,2015-04-22
353,"Clark St & Touhy Ave",42.0126,-87.6744,15,2015-05-18
354,"Sheridan Rd & Greenleaf Ave",42.0106,-87.6624,15,2015-05-15
355,"South Shore Dr & 67th St",41.7737,-87.5673,19,2015-04-22
356,"Stony Island Ave & 71st St",41.7665,-87.5865,11,2015-04-22
359,"Larrabee St & Division St",41.9035,-87.6434,19,2015-05-02
364,"Larrabee St & Oak St",41.9002,-87.643,15,2015-05-02
365,"Halsted St & North Branch St",41.8994,-87.6485,15,2015-05-16
366,"Loomis St & Archer Ave",41.8416,-87.6574,15,2015-04-13
367,"Racine Ave & 35th St",41.8307,-87.656,15,2015-04-13
368,"Ashland Ave & Archer Ave",41.8392,-87.6656,19,2015-04-13
369,"Wood St & 35th St",41.8301,-87.6703,11,2015-04-14
370,"Calumet Ave & 21st St",41.8542,-87.6192,15,2015-05-01
372,"Humboldt Dr & Luis Munoz Marin Dr",41.9001,-87.7029,15,2015-04-30
373,"Kedzie Ave & Chicago Ave",41.8955,-87.7061,15,2015-04-29
374,"Western Ave & Walton St",41.8984,-87.6866,15,2015-04-27
375,"Sacramento Blvd & Franklin Blvd",41.8897,-87.701,15,2015-04-30
376,"Artesian Ave & Hubbard St",41.8895,-87.6882,35,2015-04-27
377,"Kedzie Ave & Lake St",41.8846,-87.7063,19,2015-04-29
378,"California Ave & Lake St",41.8845,-87.6963,15,2015-04-27
381,"Western Ave & Monroe St",41.8798,-87.6861,15,2015-04-27
382,"Western Ave & Congress Pkwy",41.8747,-87.6864,19,2015-04-27
383,"Ashland Ave & Harrison St",41.8743,-87.6672,23,2015-04-27
384,"Halsted St & 51st St",41.8018,-87.6452,15,2015-04-15
385,"Princeton Ave & Garfield Blvd",41.795,-87.6331,15,2015-04-24
386,"Halsted St & 56th St",41.7929,-87.645,15,2015-04-15
388,"Halsted St & 63rd St",41.7794,-87.6446,15,2015-04-21
390,"Wentworth Ave & 63rd St",41.7801,-87.6297,15,2015-05-18
391,"Halsted St & 69th St",41.7691,-87.6446,15,2015-04-21
392,"Perry Ave & 69th St",41.7693,-87.6282,15,2015-05-07
393,"Calumet Ave & 71st St",41.7655,-87.6169,15,2015-04-21
394,"Clark St & 9th St (AMLI)",41.8708,-87.6312,15,2015-08-26
395,"Jeffery Blvd & 76th St",41.7571,-87.5758,15,2015-04-23
396,"Yates Blvd & 75th St",41.7588,-87.5664,11,2015-05-07
397,"Saginaw Ave & Exchange Ave",41.7587,-87.5601,11,2015-04-23
398,"Rainbow Beach",41.7579,-87.5494,19,2015-04-23
