starttimes,from_station_name,to_station_name,counts,from_lat,from_long,to_lat,to_long
8,Field Blvd & South Water St,Ashland Ave & Grand Ave,2,41.8863,-87.6175,41.8911,-87.6666
8,Lake Shore Dr & North Blvd,Streeter Dr & Grand Ave,2,41.9117,-87.6268,41.8923,-87.612
8,Clinton St & Washington Blvd,Michigan Ave & Washington St,2,41.8834,-87.6412,41.8839,-87.6246
8,Clinton St & Washington Blvd,Sedgwick St & Huron St,2,41.8834,-87.6412,41.8947,-87.6384
8,Clinton St & Washington Blvd,Michigan Ave & Lake St,2,41.8834,-87.6412,41.886,-87.6241
8,Clinton St & Washington Blvd,Rush St & Hubbard St,2,41.8834,-87.6412,41.89,-87.6263
8,Clinton St & Washington Blvd,Dearborn St & Adams St,2,41.8834,-87.6412,41.8794,-87.6298
8,Clinton St & Washington Blvd,Aberdeen St & Jackson Blvd,2,41.8834,-87.6412,41.8777,-87.6548
8,Clinton St & Washington Blvd,Franklin St & Jackson Blvd,2,41.8834,-87.6412,41.8777,-87.6353
8,Clinton St & Washington Blvd,Columbus Dr & Randolph St,2,41.8834,-87.6412,41.8847,-87.6195
8,Clark St & Columbia Ave,Clark St & Lunt Ave,2,42.0045,-87.6724,42.0091,-87.6737
8,Lakefront Trail & Bryn Mawr Ave,Streeter Dr & Grand Ave,2,41.984,-87.6523,41.8923,-87.612
8,Clark St & Grace St,Sheffield Ave & Addison St,2,41.9508,-87.6592,41.947,-87.6542
8,Michigan Ave & Oak St,Streeter Dr & Grand Ave,2,41.901,-87.6238,41.8923,-87.612
8,Cornell Ave & Hyde Park Blvd,University Ave & 57th St,2,41.8024,-87.5869,41.7915,-87.5999
8,Broadway & Wilson Ave,Lake Shore Dr & Belmont Ave,2,41.9655,-87.6572,41.9408,-87.6392
8,Broadway & Granville Ave,Lakefront Trail & Bryn Mawr Ave,2,41.9948,-87.6603,41.984,-87.6523
8,Clark St & Elmdale Ave,Broadway & Thorndale Ave,2,41.9909,-87.6696,41.9897,-87.6601
8,Western Ave & Congress Pkwy,Hermitage Ave & Polk St,2,41.8747,-87.6864,41.8715,-87.6699
8,Streeter Dr & Grand Ave,Millennium Park,2,41.8923,-87.612,41.881,-87.6241
8,Indiana Ave & Roosevelt Rd,Millennium Park,2,41.8679,-87.623,41.881,-87.6241
8,Indiana Ave & Roosevelt Rd,Franklin St & Quincy St,2,41.8679,-87.623,41.8787,-87.6348
8,Kimbark Ave & 53rd St,University Ave & 57th St,2,41.7996,-87.5947,41.7915,-87.5999
8,Clark St & Schiller St,Streeter Dr & Grand Ave,2,41.908,-87.6315,41.8923,-87.612
8,Sheffield Ave & Fullerton Ave,Lincoln Ave & Diversey Pkwy,2,41.9256,-87.6537,41.9322,-87.6586
8,McCormick Place,Millennium Park,2,41.8514,-87.6188,41.881,-87.6241
8,Desplaines St & Randolph St,LaSalle St & Jackson Blvd,2,41.8846,-87.6446,41.8782,-87.632
8,Clinton St & Lake St,Daley Center Plaza,2,41.8856,-87.6418,41.8842,-87.6296
8,Clinton St & Lake St,St. Clair St & Erie St,2,41.8856,-87.6418,41.8944,-87.6227
8,Michigan Ave & Jackson Blvd,Desplaines St & Jackson Blvd,2,41.8778,-87.6241,41.8783,-87.6439
8,Wells St & Elm St,Wells St & Concord Ln,2,41.9032,-87.6343,41.9121,-87.6347
8,Clark St & Congress Pkwy,Dearborn St & Erie St,2,41.8759,-87.6306,41.894,-87.6293
8,Larrabee St & Webster Ave,Larrabee St & Division St,2,41.9218,-87.6441,41.9035,-87.6434
8,Wabash Ave & 8th St,Dearborn St & Adams St,2,41.872,-87.6261,41.8794,-87.6298
8,Columbus Dr & Randolph St,Clark St & Randolph St,2,41.8847,-87.6195,41.8846,-87.6319
8,Damen Ave & Division St,Halsted St & Blackhawk St (*),2,41.9033,-87.6769,41.9085,-87.6486
8,Hampden Ct & Diversey Pkwy,Wilton Ave & Diversey Pkwy,2,41.9326,-87.6424,41.9324,-87.6527
8,Marshfield Ave & Cortland St,Halsted St & Blackhawk St (*),2,41.916,-87.6689,41.9085,-87.6486
8,Ada St & Washington Blvd,Sangamon St & Washington Blvd (*),2,41.8828,-87.6612,41.883,-87.6511
8,Sheffield Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,2,41.9287,-87.6538,41.9256,-87.6537
8,Wells St & Concord Ln,Clark St & Armitage Ave,2,41.9121,-87.6347,41.9183,-87.6363
9,Michigan Ave & Congress Pkwy,Michigan Ave & Washington St,7,41.8762,-87.6244,41.8839,-87.6246
9,Stockton Dr & Wrightwood Ave,Streeter Dr & Grand Ave,6,41.9313,-87.6387,41.8923,-87.612
9,Wells St & Walton St,Columbus Dr & Randolph St,4,41.8999,-87.6344,41.8847,-87.6195
9,Green St & Madison St,Daley Center Plaza,3,41.8819,-87.6488,41.8842,-87.6296
9,Halsted St & Diversey Pkwy,Sheffield Ave & Webster Ave,3,41.9337,-87.649,41.9215,-87.6538
9,Streeter Dr & Grand Ave,Shedd Aquarium,3,41.8923,-87.612,41.8672,-87.6154
9,Columbus Dr & Randolph St,Franklin St & Monroe St,3,41.8847,-87.6195,41.8803,-87.6352
9,Desplaines St & Kinzie St,Ogden Ave & Race Ave,2,41.8887,-87.6444,41.8918,-87.6588
9,Cannon Dr & Fullerton Ave,Michigan Ave & Oak St,2,41.9268,-87.6344,41.901,-87.6238
9,Pine Grove Ave & Waveland Ave,Western Ave & Leland Ave,2,41.9493,-87.6463,41.9666,-87.6885
9,Lakeview Ave & Fullerton Pkwy,Lake Shore Dr & North Blvd,2,41.9259,-87.639,41.9117,-87.6268
9,Lake Shore Dr & Monroe St,Field Museum,2,41.881,-87.6167,41.8653,-87.6179
9,Wells St & Huron St,Franklin St & Jackson Blvd,2,41.8947,-87.6338,41.8777,-87.6353
9,LaSalle St & Illinois St,Theater on the Lake,2,41.8908,-87.6321,41.9263,-87.6308
9,LaSalle St & Illinois St,Streeter Dr & Grand Ave,2,41.8908,-87.6321,41.8923,-87.612
9,Lake Park Ave & 56th St,Ellis Ave & 55th St,2,41.7932,-87.5878,41.7943,-87.6014
9,Canal St & Madison St,Michigan Ave & Madison St,2,41.8821,-87.6398,41.8821,-87.6251
9,Clark St & Armitage Ave,Lake Shore Dr & Belmont Ave,2,41.9183,-87.6363,41.9408,-87.6392
9,Campbell Ave & North Ave,Central Park Ave & Elbridge Ave,2,41.9105,-87.6896,41.9353,-87.7169
9,Clinton St & Madison St,Orleans St & Merchandise Mart Plaza,2,41.8822,-87.6411,41.8882,-87.6364
9,Desplaines St & Jackson Blvd,Clark St & Randolph St,2,41.8783,-87.6439,41.8846,-87.6319
9,McClurg Ct & Illinois St,Shedd Aquarium,2,41.891,-87.6173,41.8672,-87.6154
9,McClurg Ct & Illinois St,Streeter Dr & Grand Ave,2,41.891,-87.6173,41.8923,-87.612
9,McClurg Ct & Illinois St,Clark St & Randolph St,2,41.891,-87.6173,41.8846,-87.6319
9,Wells St & Evergreen Ave,Stockton Dr & Wrightwood Ave,2,41.9067,-87.6348,41.9313,-87.6387
9,Ashland Ave & Grand Ave,Conservatory Dr & Lake St,2,41.8911,-87.6666,41.8855,-87.7169
9,Wells St & Walton St,Franklin St & Quincy St,2,41.8999,-87.6344,41.8787,-87.6348
9,Aberdeen St & Monroe St,Kingsbury St & Kinzie St,2,41.8804,-87.6556,41.8892,-87.6385
9,Theater on the Lake,Broadway & Cornelia Ave,2,41.9263,-87.6308,41.9455,-87.646
9,State St & Kinzie St,Michigan Ave & Madison St,2,41.8892,-87.6277,41.8821,-87.6251
9,Clinton St & Washington Blvd,Rush St & Hubbard St,2,41.8834,-87.6412,41.89,-87.6263
9,Clinton St & Washington Blvd,St. Clair St & Erie St,2,41.8834,-87.6412,41.8944,-87.6227
9,Michigan Ave & Oak St,Lake Shore Dr & Monroe St,2,41.901,-87.6238,41.881,-87.6167
9,Cornell Ave & Hyde Park Blvd,University Ave & 57th St,2,41.8024,-87.5869,41.7915,-87.5999
9,Cornell Ave & Hyde Park Blvd,Harper Ave & 59th St,2,41.8024,-87.5869,41.7879,-87.5883
